,iata,municipality,latitude_deg,longitude_deg,state,pop2010
94,VGT,Las Vegas,36.21070098877,-115.19400024414,NV,584606.0
95,LIT,Little Rock,34.729400634799994,-92.2242965698,AR,193928.0
96,GSO,Greensboro,36.097801208496094,-79.93730163574219,NC,269587.0
97,TUL,Tulsa,36.19839859008789,-95.88809967041016,OK,392421.0
98,MRY,Monterey,36.58700180053711,-121.84300231933594,CA,
99,HKO,Kailua/Kona,19.738800048828125,-156.04600524902344,HI,
100,SMO,Santa Monica,34.015800476100004,-118.450996399,CA,
101,PNS,Pensacola,30.473400115967,-87.186599731445,FL,
102,TEB,Teterboro,40.85010147089999,-74.060798645,NJ,
103,VNY,Van Nuys,34.209800720215,-118.48999786377,CA,
104,RAP,Rapid City,44.0452995300293,-103.05699920654297,D,
105,TYS,Knoxville,35.81100082,-83.9940033,TN,178432.0
106,TLH,Tallahassee,30.396499633789062,-84.35030364990234,FL,181596.0
107,FAT,Fresno,36.77619934082031,-119.71800231933594,CA,497721.0
108,SRQ,Sarasota/Bradenton,27.39539909362793,-82.55439758300781,FL,
109,EYW,Key West,24.556100845336914,-81.75959777832031,FL,
110,NEW,New Orleans,30.042400360107,-90.028297424316,LA,347770.0
111,BGR,Bangor,44.80739974975586,-68.8281021118164,ME,
112,GSP,Greenville,34.8956985474,-82.2189025879,C,
113,LEX,Lexington,38.0364990234375,-84.60590362548828,KY,296847.0
114,DAB,Daytona Beach,29.179899,-81.058098,FL,
115,SAF,Santa Fe,35.617099762,-106.088996887,NM,
116,BLI,Bellingham,48.79280090332031,-122.53800201416016,WA,
117,MYF,San Diego,32.815700531,-117.13999939,CA,1305970.0
118,LBB,Lubbock,33.663601,-101.822998,TX,230796.0
119,APA,Denver,39.57009888,-104.848999,CO,603354.0
120,PIE,St Petersburg-Clearwater,27.91020012,-82.68740082,FL,
121,PDK,Atlanta,33.8755989075,-84.3020019531,GA,429193.0
122,CMA,Camarillo,34.21369934082031,-119.09400177001953,CA,
123,AMA,Amarillo,35.219398,-101.706001,TX,191255.0
124,FXE,Fort Lauderdale,26.1972999573,-80.1707000732,FL,166138.0
125,ISM,Orlando,28.2898006439,-81.4371032715,FL,239308.0
126,APC,Napa,38.2132,-122.280998,CA,
127,SEZ,Sedona,34.848598480225,-111.78800201416,AZ,
128,CHA,Chattanooga,35.035301208496094,-85.20379638671875,TN,170559.0
129,CHO,Charlottesville,38.13859939575195,-78.4529037475586,VA,
130,MDT,Harrisburg,40.1935005188,-76.7633972168,PA,
131,CCR,Concord,37.9897003174,-122.056999207,CA,
132,LVK,Livermore,37.6934013367,-121.819999695,CA,
133,CAE,Columbia,33.93880081176758,-81.11949920654297,C,
134,HLI,Lihue,21.97599983215332,-159.33900451660156,HI,
135,CRQ,Carlsbad,33.12829971,-117.2799988,CA,
136,SDL,Scottsdale,33.622898101807,-111.91100311279,AZ,217615.0
137,BIL,Billings,45.807701110839844,-108.54299926757812,MT,
138,HSV,Huntsville,34.637199401855,-86.775100708008,AL,180960.0
139,CAK,Akron,40.916099548339844,-81.44219970703125,OH,199003.0
140,SBP,San Luis Obispo,35.236801147499996,-120.641998291,CA,
141,SAC,Sacramento,38.5125007629,-121.492996216,CA,467302.0
142,PAO,Palo Alto,37.461101532,-122.114997864,CA,
143,WVI,Watsonville,36.9356994629,-121.790000916,CA,
144,CID,Cedar Rapids,41.884700775146484,-91.71080017089844,IA,
145,GRB,Green Bay,44.48509979248047,-88.12960052490234,WI,
146,EUG,Eugene,44.12459945678711,-123.21199798583984,OR,156527.0
147,BED,Bedford,42.47000122,-71.28900146,MA,
148,STS,Santa Rosa,38.50899887,-122.8130035,CA,175304.0
149,PRC,Prescott,34.65449905,-112.4199982,AZ,
150,AVP,Wilkes-Barre/Scranton,41.338500976599995,-75.72339630130001,PA,
151,HTO,Hilo,19.721399307250977,-155.04800415039062,HI,
152,SQL,San Carlos,37.511901855469,-122.25,CA,
153,AVL,Asheville,35.43619918823242,-82.54180145263672,NC,
154,SFB,Orlando,28.777599334716797,-81.23750305175781,FL,239308.0
155,ISP,Islip,40.79520035,-73.10019684,NY,
156,AFA,Fairbanks,64.81510162,-147.8560028,AK,
157,SGF,Springfield,37.24570084,-93.38860321,MO,159484.0
159,PRB,Paso Robles,35.67290115,-120.6269989,CA,
160,HND,Las Vegas,35.9728012085,-115.134002686,NV,584606.0
161,GNV,Gainesville,29.6900997162,-82.2717971802,FL,
162,JAC,Jackson,43.6072998046875,-110.73799896240234,WY,173738.0
163,SWF,Newburgh,41.50410079956055,-74.10479736328125,NY,
164,APF,Naples,26.1525993347,-81.7752990723,FL,
165,MOB,Mobile,30.691200256348,-88.242797851562,AL,194577.0
166,FLG,Flagstaff,35.13850021,-111.6709976,AZ,
167,LAL,Lakeland,27.988899231,-82.0186004639,FL,
168,SBN,South Bend,41.70869827270508,-86.31729888916016,IN,
169,GCN,Grand Canyon,35.95240020751953,-112.14700317382812,AZ,
170,DVT,Phoenix,33.6883010864,-112.083000183,AZ,1449300.0
171,MYR,Myrtle Beach,33.6796989441,-78.9282989502,C,
172,ABE,Allentown,40.652099609375,-75.44080352783203,PA,
173,PAE,Everett,47.90629959,-122.2819977,WA,
174,PUB,Pueblo,38.289100646972656,-104.49700164794922,CO,
175,AVX,Avalon,33.4049,-118.416,CA,
176,L35,Big Bear,34.2638015747,-116.856002808,CA,
177,ADS,Dallas,32.9686012268,-96.8364028931,TX,
178,MVY,Martha's Vineyard,41.3931007385,-70.6143035889,MA,
179,SGJ,St Augustine,29.9592,-81.339798,FL,
180,RST,Rochester,43.90829849243164,-92.5,MN,210452.0
181,BFL,Bakersfield,35.43360138,-119.0569992,CA,349408.0
182,SEE,San Diego/El Cajon,32.826198577881,-116.97200012207,CA,
183,GTF,Great Falls,47.48199844,-111.3710022,MT,
184,ACK,Nantucket,41.25310135,-70.06020355,MA,
185,ILM,Wilmington,34.270599365234375,-77.90260314941406,NC,
186,NYL,Yuma,32.65660095,-114.6060028,AZ,
187,TVL,South Lake Tahoe,38.89390182495117,-119.99500274658203,CA,
188,VRB,Vero Beach,27.655599594116,-80.417900085449,FL,
189,FHR,Friday Harbor,48.5219993591,-123.024002075,WA,
190,FUL,Fullerton,33.8720016479,-117.980003357,CA,
191,F70,Murrieta/Temecula,33.5741996765,-117.127998352,CA,
192,CRW,Charleston,38.37310028076172,-81.59320068359375,WV,
193,FWA,Fort Wayne,40.97850037,-85.19509888,IN,254162.0
194,FAR,Fargo,46.92070007324219,-96.81580352783203,ND,
195,MFR,Medford,42.37419891357422,-122.87300109863281,OR,
196,RDD,Redding,40.50899887,-122.2929993,CA,
197,LUK,Cincinnati,39.10329819,-84.41860199,OH,296837.0
198,IFP,Bullhead City,35.15739822,-114.5599976,AZ,
199,ASE,Aspen,39.22320175,-106.8690033,CO,
200,HIO,Portland,45.540401,-122.949997,OR,585436.0
201,RHV,San Jose,37.332901001,-121.819000244,CA,954492.0
202,GPT,Gulfport,30.40730094909668,-89.07009887695312,M,
203,LNK,Lincoln,40.85100173950195,-96.75920104980469,NE,259261.0
204,FRG,Farmingdale,40.7288017273,-73.4133987427,NY,
205,HFD,Hartford,41.736698150635,-72.649398803711,CT,
206,SGU,St George,37.036389,-113.510306,T,
207,O22,Columbia,38.030399322499996,-120.415000916,CA,
208,HWD,Hayward,37.659198761,-122.122001648,CA,144746.0
209,FFZ,Mesa,33.4608001709,-111.727996826,AZ,440995.0
210,TOA,Torrance,33.803398132324,-118.33999633789,CA,145183.0
211,BTR,Baton Rouge,30.53319931,-91.14959717,LA,229369.0
212,JAN,Jackson,32.3111991882,-90.0758972168,M,173738.0
213,MLI,Moline,41.44850158691406,-90.50749969482422,IL,
214,ROA,Roanoke,37.3255,-79.975403,VA,
215,TOL,Toledo,41.58679962,-83.80780029,OH,287030.0
216,SMX,Santa Maria,34.89889908,-120.4570007,CA,
217,FSD,Sioux Falls,43.582000732400004,-96.741897583,D,154526.0
218,FTW,Fort Worth,32.819801,-97.362396,TX,748481.0
219,GON,Groton (New London),41.330101013183594,-72.04509735107422,CT,
220,IWA,Phoenix,33.30780029,-111.6549988,AZ,1449300.0
221,BKL,Cleveland,41.51750183105469,-81.68329620361328,OH,395890.0
222,TRK,Truckee,39.319999694799996,-120.13999939,CA,
223,BDR,Bridgeport,41.16350173950195,-73.1261978149414,CT,144858.0
224,CMI,Champaign/Urbana,40.03919983,-88.27809906,IL,
225,CYS,Cheyenne,41.15570068,-104.8119965,WY,
226,FNT,Flint,42.96540069580078,-83.74359893798828,MI,
227,MSO,Missoula,46.91630173,-114.0910034,MT,
228,OXR,Oxnard,34.200801849365,-119.20700073242,CA,198465.0
229,SDM,San Diego,32.572299957275,-116.98000335693,CA,1305970.0
230,HAF,Half Moon Bay,37.513401031499995,-122.500999451,CA,
231,DVO,Novato,38.143600463867,-122.55599975586,CA,
232,CRP,Corpus Christi,27.77039909362793,-97.5011978149414,TX,305281.0
233,PHF,Newport News,37.13190079,-76.49299622,VA,180925.0
234,GJT,Grand Junction,39.1223983765,-108.527000427,CO,
235,LAN,Lansing,42.77870178222656,-84.58740234375,MI,
236,MLB,Melbourne,28.102800369262695,-80.64530181884766,FL,
237,MAF,Midland,31.9424991607666,-102.2020034790039,TX,111284.0
238,BLH,Blythe,33.6192016602,-114.717002869,CA,
239,RBL,Red Bluff,40.1506996155,-122.251998901,CA,
240,CNO,Chino,33.97470093,-117.637001,CA,
241,DWH,Houston,30.0618000031,-95.55280303960001,TX,2098450.0
242,DLH,Duluth,46.8420982361,-92.19360351559999,MN,
243,BIS,Bismarck,46.772701263427734,-100.74600219726562,ND,
244,HYA,Hyannis,41.66930008,-70.28040314,MA,
245,AZO,Kalamazoo,42.234901428222656,-85.5521011352539,MI,
246,MKC,Kansas City,39.123199462890625,-94.5927963256836,MO,460737.0
248,POU,Poughkeepsie,41.6265983581543,-73.88420104980469,NY,
249,BJC,Denver,39.90879822,-105.1169968,CO,603354.0
250,OGD,Ogden,41.195899963379,-112.0120010376,T,
251,SCK,Stockton,37.894199371338,-121.2379989624,CA,292446.0
252,RAL,Riverside,33.95190048,-117.4449997,CA,305568.0
253,TRM,Palm Springs,33.62670135498,-116.16000366211,CA,
254,CGZ,Casa Grande,32.954899,-111.766998,AZ,
255,RBD,Dallas,32.6809005737,-96.8682022095,TX,
256,HII,Lake Havasu City,34.571098,-114.358002,AZ,
257,PIA,Peoria,40.664199829100006,-89.6932983398,IL,154891.0
258,TRI,Bristol/Johnson/Kingsport,36.475201,-82.407401,TN,
259,CLL,College Station,30.58860016,-96.36380005,TX,
260,LSE,La Crosse,43.879002,-91.256699,WI,
261,PSM,Portsmouth,43.0778999329,-70.8233032227,NH,
262,TTN,Trenton,40.27669906616211,-74.8134994506836,NJ,
263,EGE,Eagle,39.64260101,-106.9179993,CO,
264,MOD,Modesto,37.62580109,-120.9540024,CA,203314.0
265,FTY,Atlanta,33.7790985107,-84.5214004517,GA,429193.0
266,EEN,Keene,42.898399353027344,-72.27079772949219,NH,
267,PGA,Page,36.92610168,-111.447998,AZ,
268,AUN,Auburn,38.95479965,-121.0820007,CA,
269,HEF,Manassas,38.72140121,-77.51540375,VA,
270,BMI,Bloomington/Normal,40.47710037,-88.91590118,IL,
271,RFD,Chicago/Rockford,42.19540023803711,-89.09719848632812,IL,
272,BZN,Bozeman,45.77750015,-111.1529999,MT,
273,ELM,Elmira/Corning,42.1599006652832,-76.8916015625,NY,
274,MFE,Mc Allen,26.17580032,-98.23860168,TX,
275,ACT,Waco,31.611299514770508,-97.23049926757812,TX,125409.0
276,LNS,Lancaster,40.121700286865234,-76.29609680175781,PA,156822.0
277,ORH,Worcester,42.26729965209961,-71.87570190429688,MA,181878.0
278,GLS,Galveston,29.265300750732422,-94.86039733886719,TX,
279,IGM,Kingman,35.259498596191406,-113.93800354003906,AZ,
280,GFL,Glens Falls,43.3412017822,-73.6102981567,NY,
281,FPR,Fort Pierce,27.49510002,-80.36830139,FL,
282,CRG,Jacksonville,30.3362998962,-81.51439666750001,FL,823123.0
283,WJF,Lancaster,34.74110031,-118.2190018,CA,156822.0
284,TMB,Miami,25.6478996277,-80.432800293,FL,400841.0
285,MHR,Sacramento,38.55390167,-121.2979965,CA,467302.0
286,CDW,Caldwell,40.875198364300005,-74.2814025879,NJ,
287,FFA,Kill Devil Hills,36.0181999207,-75.67130279540001,NC,
288,LCI,Laconia,43.5727005005,-71.4188995361,NH,
289,ASH,Nashua,42.7817001343,-71.51480102539999,NH,
290,PWA,Oklahoma City,35.53419876,-97.64710236,OK,582285.0
291,RNT,Renton,47.4930992126,-122.216003418,WA,
292,EVV,Evansville,38.0369987488,-87.5324020386,IN,
293,IPT,Williamsport,41.241798400878906,-76.92109680175781,PA,
294,XNA,Fayetteville/Springdale,36.281898,-94.306801,AR,
295,IPL,Imperial,32.834201812699995,-115.57900238,CA,
296,ITH,Ithaca,42.49100112915039,-76.4583969116211,NY,
297,ATW,Appleton,44.258098602299995,-88.5190963745,WI,
298,MEV,Minden,39.00030136,-119.7509995,NV,
299,FCM,Minneapolis,44.8272018433,-93.45709991460001,MN,383067.0
300,OWD,Norwood,42.1904983521,-71.1728973389,MA,
301,SHV,Shreveport,32.44660186767578,-93.82559967041016,LA,200869.0
302,CPR,Casper,42.90800095,-106.4639969,WY,
303,FSM,Fort Smith,35.33660125732422,-94.36740112304688,AR,
304,MGM,Montgomery,32.30059814,-86.39399719,AL,205593.0
305,ACY,Atlantic City,39.45759963989258,-74.57720184326172,NJ,
306,CDC,Cedar City,37.70100021362305,-113.0989990234375,T,
307,GFK,Grand Forks,47.949299,-97.176102,ND,
308,SJT,San Angelo,31.35770034790039,-100.49600219726562,TX,
309,ABI,Abilene,32.4113006592,-99.68190002440001,TX,
310,IAG,Niagara Falls,43.1072998046875,-78.94619750976562,NY,
311,SNS,Salinas,36.662799835205,-121.60600280762,CA,150904.0
312,MMU,Morristown,40.799400329589844,-74.41490173339844,NJ,
313,MER,Merced,37.38050079,-120.5680008,CA,
314,FDK,Frederick,39.417598724399994,-77.3742980957,MD,
315,OCF,Ocala,29.17259979,-82.22419739,FL,
316,PVF,Placerville,38.724201202393,-120.75299835205,CA,
317,PVC,Provincetown,42.0718994141,-70.2213973999,MA,
318,PGD,Punta Gorda,26.92020035,-81.9905014,FL,
319,AHN,Athens,33.94860076904297,-83.32630157470703,GA,
320,BRO,Brownsville,25.90679931640625,-97.4259033203125,TX,175400.0
321,TVC,Traverse City,44.74140167236328,-85.58219909667969,MI,
322,AJN,Juneau,58.35499954223633,-134.5760040283203,AK,
323,DET,Detroit,42.40919876,-83.00990295,MI,711120.0
324,MCC,Sacramento,38.66759872,-121.401001,CA,467302.0
325,SSI,Brunswick,31.15180016,-81.39129639,GA,
326,HHR,Hawthorne,33.922798,-118.334999,CA,
327,CIC,Chico,39.79539871,-121.8580017,CA,
328,POC,La Verne,34.091598510742,-117.78199768066,CA,
329,LZU,Lawrenceville,33.97809982,-83.96240234,GA,
330,GIF,Winter Haven,28.06290054,-81.75330353,FL,
331,AGS,Augusta,33.36989974975586,-81.9645004272461,GA,196192.0
332,FAY,Fayetteville,34.9911994934082,-78.88030242919922,NC,208335.0
333,HLN,Helena,46.6068000793457,-111.98300170898438,MT,
334,LRD,Laredo,27.543800354003906,-99.46160125732422,TX,236859.0
335,LBF,North Platte,41.12620163,-100.6839981,NE,
336,HVN,New Haven,41.26369858,-72.88680267,CT,
337,YIP,Detroit,42.23789978,-83.53040314,MI,711120.0
338,OLM,Olympia,46.9693985,-122.9029999,WA,
339,BAF,Westfield/Springfield,42.157799,-72.715599,MA,
340,OSU,Columbus,40.0797996521,-83.072998046875,OH,790935.0
342,UKI,Ukiah,39.125999450684,-123.20099639893,CA,
343,BHB,Bar Harbor,44.45000076,-68.3615036,ME,
344,SGR,Houston,29.622299194336,-95.65650177002,TX,2098450.0
345,CRE,North Myrtle Beach,33.8116989136,-78.72389984130001,C,
346,BID,Block Island,41.1680984497,-71.577796936,RI,
347,PWK,Chicago/Prospect Heights/Wheeling,42.114222,-87.901494,IL,
348,EMT,El Monte,34.086101532,-118.035003662,CA,
349,HMT,Hemet,33.7340011597,-117.023002625,CA,
350,HXD,Hilton Head Island,32.2243995667,-80.6975021362,C,
351,CVH,Hollister,36.8932991028,-121.410003662,CA,
352,1O2,Lakeport,38.9906005859,-122.901000977,CA,
353,OKB,Oceanside,33.217300415039,-117.35399627686,CA,167919.0
354,VNC,Venice,27.071599960327,-82.440299987793,FL,
355,SPS,Wichita Falls,33.9888,-98.491898,TX,
356,CNM,Carlsbad,32.337501525878906,-104.26300048828125,NM,
357,IDA,Idaho Falls,43.514599,-112.070999,ID,
358,TYR,Tyler,32.35409927368164,-95.40239715576172,TX,
359,PWT,Bremerton,47.490200042725,-122.76499938965,WA,
360,LWM,Lawrence,42.717201232899995,-71.1233978271,MA,
361,PTK,Pontiac,42.665500640869,-83.420097351074,MI,
362,UNV,State College,40.8493003845,-77.84870147710001,PA,
363,L08,Borrego Springs,33.2589988708,-116.320999146,CA,
364,FNL,Fort Collins/Loveland,40.4518013,-105.011001587,CO,
365,JVL,Janesville,42.620300293,-89.0416030884,WI,
366,LXV,Leadville,39.220298767100005,-106.317001343,CO,
367,PHK,Pahokee,26.78499985,-80.69339752,FL,
368,VIS,Visalia,36.3186988831,-119.392997742,CA,
369,SPI,Springfield,39.84410095,-89.67790222,IL,159484.0
371,SUX,Sioux City,42.40259933,-96.38439941,IA,
372,BGM,Binghamton,42.20869827,-75.97979736,NY,
373,HRL,Harlingen,26.228500366210938,-97.65440368652344,TX,
374,SLN,Salina,38.79100036621094,-97.6521987915039,K,
375,EKO,Elko,40.82490158081055,-115.79199981689453,NV,
376,PSC,Pasco,46.26470184326172,-119.11900329589844,WA,
377,SAW,Marquette,46.353599548300004,-87.395401001,MI,
378,DPA,Chicago/West Chicago,41.90779877,-88.24859619,IL,
379,CON,Concord,43.20270157,-71.50229645,NH,
380,DAG,Daggett,34.85369873,-116.7870026,CA,
381,FMY,Fort Myers,26.58659935,-81.86329650879999,FL,
382,DTS,Destin,30.40010071,-86.47149658,FL,
383,MPI,Mariposa,37.5108985901,-120.040000916,CA,
384,SUA,Stuart,27.18169975,-80.22109985,FL,
385,TMK,Tillamook,45.4182014465,-123.814002991,OR,
386,WLW,Willows,39.51639938,-122.2180023,CA,
387,MBS,Saginaw,43.532901763916016,-84.07959747314453,MI,
388,EAU,Eau Claire,44.86579895019531,-91.48429870605469,WI,
389,GRI,Grand Island,40.967498779296875,-98.30960083007812,NE,
390,HOT,Hot Springs,34.47800064086914,-93.09619903564453,AR,
391,LMT,Klamath Falls,42.156101,-121.733002,OR,
392,LEB,Lebanon,43.626098632799994,-72.30419921880001,NH,
393,LYH,Lynchburg,37.326698303222656,-79.20040130615234,VA,
394,GPI,Kalispell,48.31050109863281,-114.25599670410156,MT,
395,STP,St Paul,44.93450164794922,-93.05999755859375,MN,
396,BWG,Bowling Green,36.964500427199994,-86.41970062259999,KY,
397,TIX,Titusville,28.514799118042,-80.799201965332,FL,
398,WYS,West Yellowstone,44.68840027,-111.1179962,MT,
399,AST,Astoria,46.158000946,-123.878997803,OR,
400,EED,Needles,34.7663002014,-114.623001099,CA,
401,PVU,Provo,40.219200134277,-111.72299957275,T,
402,APV,Apple Valley,34.575298309299995,-117.185997009,CA,
403,61B,Boulder City,35.9474983215,-114.861000061,NV,
404,DXR,Danbury,41.371498107899995,-73.48220062259999,CT,
405,ORS,Eastsound,48.7081985474,-122.910003662,WA,
406,MKY,Marco Island,25.9950008392,-81.6725006104,FL,
407,MHV,Mojave,35.05939865,-118.1520004,CA,
408,LFT,Lafayette,30.20529938,-91.98760223,LA,
409,ACV,Arcata/Eureka,40.97809982299805,-124.10900115966797,CA,
410,COU,Columbia,38.81809997558594,-92.21959686279297,MO,
411,CSG,Columbus,32.516300201416016,-84.93890380859375,GA,790935.0
413,GGG,Longview,32.38399887084961,-94.71150207519531,TX,
414,OTH,North Bend,43.41709899902344,-124.24600219726562,OR,
415,ROW,Roswell,33.30160140991211,-104.53099822998047,NM,
416,SUS,St Louis,38.662101745605,-90.652000427246,MO,
417,AGC,Pittsburgh,40.354400634765625,-79.9301986694336,PA,305410.0
418,TIW,Tacoma,47.26789856,-122.5780029,WA,198227.0
419,MCE,Merced,37.28469849,-120.5139999,CA,
420,PNE,Philadelphia,40.081902,-75.010597,PA,1528290.0
421,BVS,Burlington/Mount Vernon,48.4709014893,-122.42099762,WA,
422,SFZ,Pawtucket,41.9207992554,-71.49140167239999,RI,
423,PAN,Payson,34.256801605225,-111.33899688721,AZ,
424,MLU,Monroe,32.51089859008789,-92.0376968383789,LA,
425,AEX,Alexandria,31.32740020751953,-92.54979705810547,LA,140740.0
426,MOT,Minot,48.2593994140625,-101.27999877929688,ND,
427,PIR,Pierre,44.38270187,-100.2860031,D,
428,RDG,Reading,40.378501892089844,-75.96520233154297,PA,
429,CXO,Houston,30.351801,-95.414497,TX,2098450.0
430,HUT,Hutchinson,38.0654983521,-97.86060333250002,K,
431,GLD,Goodland,39.37060165,-101.6989975,K,
432,GMU,Greenville,34.847900390599996,-82.34999847410002,C,
433,RVS,Tulsa,36.039600372314,-95.984596252441,OK,392421.0
434,BDU,Boulder,40.0393981934,-105.225997925,CO,
435,L06,Death Valley National Park,36.463799,-116.880997,CA,
436,DRO,Durango,37.1515007019,-107.753997803,CO,
437,FLD,Fond du Lac,43.7711982727,-88.48840332030001,WI,
