,Date,Airport,Total,Flights,Booths,Mean per flight
126,2011-05-07,,,,,
127,2011-05-08,,,,,
128,2011-05-09,,,,,
129,2011-05-10,,,,,
130,2011-05-11,,,,,
131,2011-05-12,,,,,
132,2011-05-13,,,,,
133,2011-05-14,,,,,
134,2011-05-15,,,,,
135,2011-05-16,,,,,
136,2011-05-17,,,,,
137,2011-05-18,,,,,
138,2011-05-19,,,,,
139,2011-05-20,,,,,
140,2011-05-21,,,,,
141,2011-05-22,,,,,
142,2011-05-23,,,,,
143,2011-05-24,,,,,
144,2011-05-25,,,,,
145,2011-05-26,,,,,
146,2011-05-27,,,,,
147,2011-05-28,,,,,
148,2011-05-29,,,,,
149,2011-05-30,,,,,
150,2011-05-31,,,,,
151,2011-06-01,,,,,
152,2011-06-02,,,,,
153,2011-06-03,,,,,
154,2011-06-04,,,,,
155,2011-06-05,,,,,
156,2011-06-06,,,,,
157,2011-06-07,,,,,
158,2011-06-08,,,,,
159,2011-06-09,,,,,
160,2011-06-10,,,,,
161,2011-06-11,,,,,
162,2011-06-12,,,,,
163,2011-06-13,,,,,
164,2011-06-14,,,,,
165,2011-06-15,,,,,
166,2011-06-16,,,,,
167,2011-06-17,,,,,
168,2011-06-18,,,,,
169,2011-06-19,,,,,
170,2011-06-20,,,,,
171,2011-06-21,,,,,
172,2011-06-22,,,,,
173,2011-06-23,,,,,
174,2011-06-24,,,,,
175,2011-06-25,,,,,
176,2011-06-26,,,,,
177,2011-06-27,,,,,
178,2011-06-28,,,,,
179,2011-06-29,,,,,
180,2011-06-30,,,,,
181,2011-07-01,,,,,
182,2011-07-02,,,,,
183,2011-07-03,,,,,
184,2011-07-04,,,,,
185,2011-07-05,,,,,
186,2011-07-06,,,,,
187,2011-07-07,,,,,
188,2011-07-08,,,,,
189,2011-07-09,,,,,
190,2011-07-10,,,,,
191,2011-07-11,,,,,
192,2011-07-12,,,,,
193,2011-07-13,,,,,
194,2011-07-14,,,,,
195,2011-07-15,,,,,
196,2011-07-16,,,,,
197,2011-07-17,,,,,
198,2011-07-18,,,,,
199,2011-07-19,,,,,
200,2011-07-20,,,,,
201,2011-07-21,,,,,
202,2011-07-22,,,,,
203,2011-07-23,,,,,
204,2011-07-24,,,,,
205,2011-07-25,,,,,
206,2011-07-26,,,,,
207,2011-07-27,,,,,
208,2011-07-28,,,,,
209,2011-07-29,,,,,
210,2011-07-30,,,,,
211,2011-07-31,,,,,
212,2011-08-01,,,,,
213,2011-08-02,,,,,
214,2011-08-03,,,,,
215,2011-08-04,,,,,
216,2011-08-05,,,,,
217,2011-08-06,,,,,
218,2011-08-07,,,,,
219,2011-08-08,,,,,
220,2011-08-09,,,,,
221,2011-08-10,,,,,
222,2011-08-11,,,,,
223,2011-08-12,,,,,
224,2011-08-13,,,,,
225,2011-08-14,,,,,
226,2011-08-15,,,,,
227,2011-08-16,,,,,
228,2011-08-17,,,,,
229,2011-08-18,,,,,
230,2011-08-19,,,,,
231,2011-08-20,,,,,
232,2011-08-21,,,,,
233,2011-08-22,,,,,
234,2011-08-23,,,,,
235,2011-08-24,,,,,
236,2011-08-25,,,,,
237,2011-08-26,,,,,
238,2011-08-27,,,,,
239,2011-08-28,,,,,
240,2011-08-29,,,,,
241,2011-08-30,,,,,
242,2011-08-31,,,,,
243,2011-09-01,ATL,11328.0,68.0,432.0,166.59
244,2011-09-01,CLT,2466.0,15.0,68.0,164.4
245,2011-09-01,DEN,803.0,7.0,31.0,114.71
246,2011-09-01,DFW,5061.0,51.0,244.0,99.24
247,2011-09-01,DTW,3711.0,18.0,176.0,206.17
248,2011-09-01,EWR,16387.0,94.0,535.0,174.33
249,2011-09-01,IAH,8493.0,91.0,393.0,93.33
250,2011-09-01,JFK,42999.0,191.0,1627.0,225.13
251,2011-09-01,LAS,2787.0,16.0,85.0,174.19
252,2011-09-01,LAX,22513.0,105.0,928.0,214.41
253,2011-09-01,MCO,3750.0,21.0,201.0,178.57
254,2011-09-01,MIA,22005.0,159.0,775.0,138.4
255,2011-09-01,MSP,1714.0,10.0,55.0,171.4
256,2011-09-01,ORD,12436.0,62.0,412.0,200.58
257,2011-09-01,PHL,5099.0,28.0,120.0,182.11
258,2011-09-01,PHX,1403.0,17.0,79.0,82.53
259,2011-09-01,SEA,3587.0,21.0,134.0,170.81
260,2011-09-01,SFO,11567.0,49.0,518.0,236.06
261,2011-09-01,LGA,16387.0,94.0,535.0,174.33
262,2011-09-01,BOS,5935.0,32.0,216.0,185.0
263,2011-09-02,ATL,10735.0,66.0,384.0,162.65
264,2011-09-02,CLT,2867.0,18.0,70.0,159.28
265,2011-09-02,DEN,774.0,7.0,33.0,110.57
266,2011-09-02,DFW,5782.0,56.0,230.0,103.25
267,2011-09-02,DTW,3951.0,19.0,196.0,207.95
268,2011-09-02,EWR,15528.0,93.0,535.0,166.97
269,2011-09-02,IAH,8823.0,94.0,387.0,93.86
270,2011-09-02,JFK,41788.0,191.0,1667.0,218.79
271,2011-09-02,LAS,1488.0,9.0,52.0,165.33
272,2011-09-02,LAX,21418.0,106.0,978.0,202.06
273,2011-09-02,MCO,3502.0,20.0,203.0,175.1
274,2011-09-02,MIA,23946.0,168.0,879.0,142.54
275,2011-09-02,MSP,1832.0,11.0,59.0,166.55
276,2011-09-02,ORD,12759.0,68.0,382.0,187.63
277,2011-09-02,PHL,4295.0,27.0,127.0,159.07
278,2011-09-02,PHX,1360.0,17.0,78.0,80.0
279,2011-09-02,SEA,3633.0,21.0,146.0,173.0
280,2011-09-02,SFO,11045.0,51.0,501.0,216.57
281,2011-09-02,LGA,15528.0,93.0,535.0,166.97
282,2011-09-02,BOS,5799.0,32.0,192.0,181.0
283,2011-09-03,ATL,13335.0,78.0,453.0,170.96
284,2011-09-03,CLT,3727.0,27.0,84.0,138.04
285,2011-09-03,DEN,1344.0,13.0,42.0,103.38
286,2011-09-03,DFW,6560.0,58.0,253.0,113.1
287,2011-09-03,DTW,4986.0,24.0,224.0,207.75
288,2011-09-03,EWR,16269.0,98.0,535.0,166.01
289,2011-09-03,IAH,9974.0,99.0,385.0,100.75
290,2011-09-03,JFK,41347.0,192.0,1538.0,215.35
291,2011-09-03,LAS,1254.0,7.0,35.0,179.14
292,2011-09-03,LAX,23996.0,119.0,975.0,201.65
293,2011-09-03,MCO,4503.0,26.0,194.0,173.19
294,2011-09-03,MIA,23758.0,170.0,814.0,139.75
295,2011-09-03,MSP,1962.0,12.0,51.0,163.5
296,2011-09-03,ORD,12257.0,68.0,393.0,180.25
297,2011-09-03,PHL,5567.0,34.0,162.0,163.74
298,2011-09-03,PHX,1048.0,12.0,58.0,87.33
299,2011-09-03,SEA,3532.0,21.0,151.0,168.19
300,2011-09-03,SFO,10537.0,49.0,489.0,215.04
301,2011-09-03,LGA,16269.0,98.0,535.0,166.01
302,2011-09-03,BOS,4649.0,28.0,154.0,166.0
303,2011-09-04,ATL,11730.0,68.0,422.0,172.5
304,2011-09-04,CLT,3439.0,22.0,75.0,156.32
305,2011-09-04,DEN,758.0,5.0,29.0,151.6
306,2011-09-04,DFW,6733.0,59.0,226.0,114.12
307,2011-09-04,DTW,4165.0,20.0,207.0,208.25
308,2011-09-04,EWR,14180.0,89.0,478.0,159.33
309,2011-09-04,IAH,9418.0,96.0,455.0,98.1
310,2011-09-04,JFK,40947.0,190.0,1651.0,215.51
311,2011-09-04,LAS,2587.0,15.0,80.0,172.47
312,2011-09-04,LAX,22253.0,108.0,972.0,206.05
313,2011-09-04,MCO,3251.0,21.0,189.0,154.81
314,2011-09-04,MIA,23600.0,171.0,898.0,138.01
315,2011-09-04,MSP,1799.0,11.0,58.0,163.55
316,2011-09-04,ORD,12384.0,67.0,392.0,184.84
317,2011-09-04,PHL,4977.0,31.0,147.0,160.55
318,2011-09-04,PHX,2182.0,20.0,78.0,109.1
319,2011-09-04,SEA,2886.0,18.0,103.0,160.33
320,2011-09-04,SFO,10916.0,50.0,461.0,218.32
321,2011-09-04,LGA,14180.0,89.0,478.0,159.33
322,2011-09-04,BOS,5442.0,32.0,183.0,170.0
323,2011-09-05,ATL,12665.0,70.0,436.0,180.93
324,2011-09-05,CLT,3187.0,17.0,82.0,187.47
325,2011-09-05,DEN,848.0,7.0,27.0,121.14
326,2011-09-05,DFW,7219.0,56.0,263.0,128.91
327,2011-09-05,DTW,4810.0,21.0,211.0,229.05
328,2011-09-05,EWR,16517.0,93.0,514.0,177.6
329,2011-09-05,IAH,10520.0,93.0,370.0,113.12
330,2011-09-05,JFK,40712.0,183.0,1601.0,222.47
331,2011-09-05,LAS,1406.0,8.0,46.0,175.75
332,2011-09-05,LAX,23202.0,109.0,986.0,212.86
333,2011-09-05,MCO,3190.0,18.0,154.0,177.22
334,2011-09-05,MIA,24833.0,176.0,927.0,141.1
335,2011-09-05,MSP,1913.0,11.0,45.0,173.91
336,2011-09-05,ORD,13577.0,67.0,404.0,202.64
337,2011-09-05,PHL,4919.0,27.0,170.0,182.19
338,2011-09-05,PHX,2047.0,17.0,79.0,120.41
339,2011-09-05,SEA,3780.0,21.0,141.0,180.0
340,2011-09-05,SFO,11436.0,46.0,488.0,248.61
341,2011-09-05,LGA,16517.0,93.0,514.0,177.6
342,2011-09-05,BOS,6682.0,34.0,202.0,196.0
343,2011-09-06,ATL,10406.0,60.0,432.0,173.43
344,2011-09-06,CLT,2915.0,17.0,70.0,171.47
345,2011-09-06,DEN,820.0,7.0,28.0,117.14
346,2011-09-06,DFW,5229.0,50.0,248.0,104.58
347,2011-09-06,DTW,3492.0,18.0,187.0,194.0
348,2011-09-06,EWR,13912.0,87.0,443.0,159.91
349,2011-09-06,IAH,8752.0,92.0,386.0,95.13
350,2011-09-06,JFK,38216.0,178.0,1745.0,214.7
351,2011-09-06,LAS,1605.0,9.0,52.0,178.33
352,2011-09-06,LAX,20973.0,100.0,939.0,209.73
353,2011-09-06,MCO,3541.0,20.0,186.0,177.05
354,2011-09-06,MIA,20363.0,140.0,788.0,145.45
355,2011-09-06,MSP,1790.0,11.0,43.0,162.73
356,2011-09-06,ORD,11915.0,62.0,325.0,192.18
357,2011-09-06,PHL,4118.0,26.0,169.0,158.38
358,2011-09-06,PHX,1757.0,16.0,65.0,109.81
359,2011-09-06,SEA,3354.0,19.0,136.0,176.53
360,2011-09-06,SFO,11538.0,49.0,447.0,235.47
361,2011-09-06,LGA,13912.0,87.0,443.0,159.91
362,2011-09-06,BOS,5161.0,31.0,179.0,166.0
363,2011-09-07,ATL,9529.0,61.0,394.0,156.21
364,2011-09-07,CLT,1927.0,13.0,43.0,148.23
365,2011-09-07,DEN,855.0,7.0,31.0,122.14
366,2011-09-07,DFW,5978.0,55.0,225.0,108.69
367,2011-09-07,DTW,3737.0,18.0,167.0,207.61
368,2011-09-07,EWR,13327.0,88.0,473.0,151.44
369,2011-09-07,IAH,7895.0,84.0,370.0,93.99
370,2011-09-07,JFK,35560.0,163.0,1460.0,218.16
371,2011-09-07,LAS,1854.0,10.0,77.0,185.4
372,2011-09-07,LAX,19446.0,98.0,925.0,198.43
373,2011-09-07,MCO,3133.0,17.0,144.0,184.29
374,2011-09-07,MIA,20518.0,148.0,739.0,138.64
375,2011-09-07,MSP,1686.0,11.0,44.0,153.27
376,2011-09-07,ORD,12185.0,66.0,321.0,184.62
377,2011-09-07,PHL,3545.0,24.0,149.0,147.71
378,2011-09-07,PHX,847.0,10.0,48.0,84.7
379,2011-09-07,SEA,3452.0,21.0,144.0,164.38
380,2011-09-07,SFO,9998.0,47.0,443.0,212.72
381,2011-09-07,LGA,13327.0,88.0,473.0,151.44
382,2011-09-07,BOS,4626.0,29.0,165.0,159.0
383,2011-09-08,ATL,9228.0,63.0,334.0,146.48
384,2011-09-08,CLT,1796.0,13.0,49.0,138.15
385,2011-09-08,DEN,793.0,7.0,30.0,113.29
386,2011-09-08,DFW,5113.0,53.0,189.0,96.47
387,2011-09-08,DTW,2862.0,16.0,162.0,178.88
388,2011-09-08,EWR,12705.0,87.0,476.0,146.03
389,2011-09-08,IAH,7557.0,92.0,381.0,82.14
390,2011-09-08,JFK,34152.0,165.0,1494.0,206.98
391,2011-09-08,LAS,2938.0,18.0,89.0,163.22
392,2011-09-08,LAX,20270.0,105.0,963.0,193.05
393,2011-09-08,MCO,3156.0,19.0,212.0,166.11
394,2011-09-08,MIA,20949.0,155.0,821.0,135.15
395,2011-09-08,MSP,1506.0,10.0,52.0,150.6
396,2011-09-08,ORD,10726.0,61.0,366.0,175.84
397,2011-09-08,PHL,3481.0,27.0,133.0,128.93
398,2011-09-08,PHX,1107.0,16.0,67.0,69.19
399,2011-09-08,SEA,3062.0,19.0,114.0,161.16
400,2011-09-08,SFO,10535.0,46.0,433.0,229.02
401,2011-09-08,LGA,12705.0,87.0,476.0,146.03
402,2011-09-08,BOS,4455.0,31.0,164.0,143.0
403,2011-09-09,ATL,10061.0,63.0,353.0,159.7
404,2011-09-09,CLT,2357.0,16.0,84.0,147.31
405,2011-09-09,DEN,858.0,7.0,35.0,122.57
406,2011-09-09,DFW,5793.0,52.0,202.0,111.4
407,2011-09-09,DTW,3629.0,18.0,154.0,201.61
408,2011-09-09,EWR,13746.0,91.0,503.0,151.05
409,2011-09-09,IAH,9137.0,96.0,461.0,95.18
410,2011-09-09,JFK,35301.0,175.0,1536.0,201.72
411,2011-09-09,LAS,1793.0,11.0,81.0,163.0
412,2011-09-09,LAX,19655.0,99.0,948.0,198.54
413,2011-09-09,MCO,3314.0,18.0,177.0,184.11
414,2011-09-09,MIA,22919.0,161.0,811.0,142.35
415,2011-09-09,MSP,1691.0,11.0,52.0,153.73
416,2011-09-09,ORD,12133.0,68.0,419.0,178.43
417,2011-09-09,PHL,3675.0,25.0,150.0,147.0
418,2011-09-09,PHX,1327.0,16.0,70.0,82.94
419,2011-09-09,SEA,3512.0,21.0,126.0,167.24
420,2011-09-09,SFO,10498.0,45.0,484.0,233.29
421,2011-09-09,LGA,13746.0,91.0,503.0,151.05
422,2011-09-09,BOS,4908.0,32.0,137.0,153.0
423,2011-09-10,ATL,12985.0,74.0,448.0,175.47
424,2011-09-10,CLT,3098.0,18.0,74.0,172.11
425,2011-09-10,DEN,1534.0,13.0,35.0,118.0
426,2011-09-10,DFW,7500.0,58.0,251.0,129.31
427,2011-09-10,DTW,4490.0,20.0,173.0,224.5
428,2011-09-10,EWR,15515.0,95.0,525.0,163.32
429,2011-09-10,IAH,11143.0,99.0,446.0,112.56
430,2011-09-10,JFK,35787.0,168.0,1368.0,213.02
431,2011-09-10,LAS,1521.0,10.0,58.0,152.1
432,2011-09-10,LAX,23008.0,111.0,1006.0,207.28
433,2011-09-10,MCO,4469.0,22.0,196.0,203.14
434,2011-09-10,MIA,24208.0,157.0,885.0,154.19
435,2011-09-10,MSP,1963.0,12.0,78.0,163.58
436,2011-09-10,ORD,13679.0,66.0,378.0,207.26
437,2011-09-10,PHL,4620.0,28.0,158.0,165.0
438,2011-09-10,PHX,1542.0,15.0,67.0,102.8
439,2011-09-10,SEA,3750.0,22.0,151.0,170.45
440,2011-09-10,SFO,12154.0,50.0,555.0,243.08
441,2011-09-10,LGA,15515.0,95.0,525.0,163.32
442,2011-09-10,BOS,4768.0,26.0,167.0,183.0
443,2011-09-11,ATL,11217.0,68.0,440.0,164.96
444,2011-09-11,CLT,2807.0,17.0,64.0,165.12
445,2011-09-11,DEN,801.0,7.0,23.0,114.43
446,2011-09-11,DFW,6785.0,58.0,244.0,116.98
447,2011-09-11,DTW,3614.0,18.0,185.0,200.78
448,2011-09-11,EWR,13023.0,89.0,491.0,146.33
449,2011-09-11,IAH,9967.0,96.0,401.0,103.82
450,2011-09-11,JFK,34171.0,168.0,1575.0,203.4
451,2011-09-11,LAS,2823.0,16.0,109.0,176.44
452,2011-09-11,LAX,21286.0,106.0,1047.0,200.81
453,2011-09-11,MCO,3041.0,19.0,178.0,160.05
454,2011-09-11,MIA,23241.0,160.0,786.0,145.26
455,2011-09-11,MSP,1647.0,10.0,51.0,164.7
456,2011-09-11,ORD,12432.0,67.0,366.0,185.55
457,2011-09-11,PHL,4548.0,27.0,179.0,168.44
458,2011-09-11,PHX,1690.0,18.0,81.0,93.89
459,2011-09-11,SEA,3150.0,19.0,117.0,165.79
460,2011-09-11,SFO,11484.0,48.0,542.0,239.25
461,2011-09-11,LGA,13023.0,89.0,491.0,146.33
462,2011-09-11,BOS,4894.0,30.0,170.0,163.0
463,2011-09-12,ATL,10292.0,64.0,428.0,160.81
464,2011-09-12,CLT,2425.0,14.0,62.0,173.21
465,2011-09-12,DEN,847.0,7.0,36.0,121.0
466,2011-09-12,DFW,6029.0,54.0,205.0,111.65
467,2011-09-12,DTW,3600.0,18.0,168.0,200.0
468,2011-09-12,EWR,14664.0,93.0,540.0,157.68
469,2011-09-12,IAH,8719.0,94.0,336.0,92.76
470,2011-09-12,JFK,35314.0,163.0,1491.0,216.65
471,2011-09-12,LAS,1740.0,11.0,72.0,158.18
472,2011-09-12,LAX,19842.0,101.0,965.0,196.46
473,2011-09-12,MCO,3012.0,16.0,164.0,188.25
474,2011-09-12,MIA,22077.0,159.0,783.0,138.85
475,2011-09-12,MSP,1732.0,12.0,48.0,144.33
476,2011-09-12,ORD,12445.0,68.0,405.0,183.01
477,2011-09-12,PHL,4191.0,25.0,146.0,167.64
478,2011-09-12,PHX,1420.0,15.0,65.0,94.67
479,2011-09-12,SEA,3493.0,21.0,135.0,166.33
480,2011-09-12,SFO,10377.0,45.0,435.0,230.6
481,2011-09-12,LGA,14664.0,93.0,540.0,157.68
482,2011-09-12,BOS,5321.0,31.0,171.0,171.0
483,2011-09-13,ATL,8785.0,58.0,353.0,151.47
484,2011-09-13,CLT,1886.0,11.0,67.0,171.45
485,2011-09-13,DEN,745.0,7.0,30.0,106.43
486,2011-09-13,DFW,4566.0,47.0,203.0,97.15
487,2011-09-13,DTW,2904.0,17.0,136.0,170.82
488,2011-09-13,EWR,12099.0,86.0,488.0,140.69
489,2011-09-13,IAH,7082.0,84.0,353.0,84.31
490,2011-09-13,JFK,30899.0,155.0,1433.0,199.35
491,2011-09-13,LAS,1614.0,10.0,64.0,161.4
492,2011-09-13,LAX,18948.0,97.0,969.0,195.34
493,2011-09-13,MCO,3155.0,18.0,156.0,175.28
494,2011-09-13,MIA,18170.0,139.0,777.0,130.72
495,2011-09-13,MSP,1617.0,11.0,68.0,147.0
496,2011-09-13,ORD,11097.0,61.0,346.0,181.92
497,2011-09-13,PHL,3547.0,26.0,149.0,136.42
498,2011-09-13,PHX,1013.0,11.0,78.0,92.09
499,2011-09-13,SEA,2883.0,18.0,128.0,160.17
500,2011-09-13,SFO,10475.0,48.0,455.0,218.23
501,2011-09-13,LGA,12099.0,86.0,488.0,140.69
502,2011-09-13,BOS,4386.0,30.0,135.0,146.0
503,2011-09-14,ATL,9681.0,61.0,339.0,158.7
504,2011-09-14,CLT,2068.0,12.0,61.0,172.33
505,2011-09-14,DEN,835.0,7.0,26.0,119.29
506,2011-09-14,DFW,6177.0,54.0,215.0,114.39
507,2011-09-14,DTW,3587.0,18.0,142.0,199.28
508,2011-09-14,EWR,13200.0,86.0,503.0,153.49
509,2011-09-14,IAH,8213.0,83.0,388.0,98.95
510,2011-09-14,JFK,32475.0,162.0,1621.0,200.46
511,2011-09-14,LAS,4146.0,29.0,146.0,142.97
512,2011-09-14,LAX,20397.0,100.0,934.0,203.97
513,2011-09-14,MCO,3140.0,17.0,152.0,184.71
514,2011-09-14,MIA,20330.0,151.0,779.0,134.64
515,2011-09-14,MSP,1713.0,11.0,62.0,155.73
516,2011-09-14,ORD,11433.0,67.0,343.0,170.64
517,2011-09-14,PHL,3347.0,24.0,128.0,139.46
518,2011-09-14,PHX,887.0,10.0,75.0,88.7
519,2011-09-14,SEA,3484.0,20.0,138.0,174.2
520,2011-09-14,SFO,10754.0,46.0,489.0,233.78
521,2011-09-14,LGA,13200.0,86.0,503.0,153.49
522,2011-09-14,BOS,4587.0,30.0,171.0,152.0
523,2011-09-15,ATL,10033.0,63.0,368.0,159.25
524,2011-09-15,CLT,2306.0,14.0,62.0,164.71
525,2011-09-15,DEN,803.0,7.0,38.0,114.71
526,2011-09-15,DFW,6071.0,52.0,235.0,116.75
527,2011-09-15,DTW,3441.0,16.0,173.0,215.06
528,2011-09-15,EWR,13544.0,87.0,511.0,155.68
529,2011-09-15,IAH,9051.0,93.0,421.0,97.32
530,2011-09-15,JFK,33130.0,159.0,1526.0,208.36
531,2011-09-15,LAS,4101.0,25.0,131.0,164.04
532,2011-09-15,LAX,21893.0,102.0,1035.0,214.64
533,2011-09-15,MCO,3280.0,20.0,194.0,164.0
534,2011-09-15,MIA,21912.0,154.0,830.0,142.29
535,2011-09-15,MSP,1759.0,10.0,46.0,175.9
536,2011-09-15,ORD,12158.0,61.0,393.0,199.31
537,2011-09-15,PHL,4091.0,27.0,159.0,151.52
538,2011-09-15,PHX,1361.0,15.0,72.0,90.73
539,2011-09-15,SEA,3158.0,19.0,153.0,166.21
540,2011-09-15,SFO,11781.0,46.0,539.0,256.11
541,2011-09-15,LGA,13544.0,87.0,511.0,155.68
542,2011-09-15,BOS,4794.0,29.0,156.0,165.0
543,2011-09-16,ATL,10130.0,62.0,398.0,163.39
544,2011-09-16,CLT,2377.0,14.0,82.0,169.79
545,2011-09-16,DEN,845.0,7.0,36.0,120.71
546,2011-09-16,DFW,5810.0,49.0,225.0,118.57
547,2011-09-16,DTW,3816.0,18.0,164.0,212.0
548,2011-09-16,EWR,14816.0,92.0,533.0,161.04
549,2011-09-16,IAH,9413.0,96.0,451.0,98.05
550,2011-09-16,JFK,35071.0,166.0,1528.0,211.27
551,2011-09-16,LAS,1793.0,10.0,56.0,179.3
552,2011-09-16,LAX,21158.0,100.0,963.0,211.58
553,2011-09-16,MCO,3418.0,19.0,182.0,179.89
554,2011-09-16,MIA,22593.0,156.0,884.0,144.83
555,2011-09-16,MSP,1988.0,11.0,54.0,180.73
556,2011-09-16,ORD,13822.0,68.0,431.0,203.26
557,2011-09-16,PHL,4442.0,26.0,171.0,170.85
558,2011-09-16,PHX,1326.0,16.0,74.0,82.88
559,2011-09-16,SEA,3653.0,21.0,155.0,173.95
560,2011-09-16,SFO,12070.0,50.0,519.0,241.4
561,2011-09-16,LGA,14816.0,92.0,533.0,161.04
562,2011-09-16,BOS,5709.0,30.0,187.0,190.0
563,2011-09-17,ATL,12381.0,74.0,399.0,167.31
564,2011-09-17,CLT,3232.0,19.0,78.0,170.11
565,2011-09-17,DEN,1401.0,13.0,42.0,107.77
566,2011-09-17,DFW,7000.0,56.0,227.0,125.0
567,2011-09-17,DTW,4374.0,20.0,179.0,218.7
568,2011-09-17,EWR,15984.0,98.0,511.0,163.1
569,2011-09-17,IAH,10093.0,99.0,437.0,101.95
570,2011-09-17,JFK,35521.0,165.0,1418.0,215.28
571,2011-09-17,LAS,1532.0,10.0,47.0,153.2
572,2011-09-17,LAX,23610.0,113.0,977.0,208.94
573,2011-09-17,MCO,4488.0,22.0,200.0,204.0
574,2011-09-17,MIA,23384.0,161.0,801.0,145.24
575,2011-09-17,MSP,2115.0,12.0,67.0,176.25
576,2011-09-17,ORD,13925.0,66.0,404.0,210.98
577,2011-09-17,PHL,5218.0,30.0,187.0,173.93
578,2011-09-17,PHX,1318.0,15.0,70.0,87.87
579,2011-09-17,SEA,3851.0,21.0,185.0,183.38
580,2011-09-17,SFO,11495.0,47.0,523.0,244.57
581,2011-09-17,LGA,15984.0,98.0,511.0,163.1
582,2011-09-17,BOS,5139.0,26.0,140.0,197.0
583,2011-09-18,ATL,11472.0,68.0,469.0,168.71
584,2011-09-18,CLT,2863.0,16.0,67.0,178.94
585,2011-09-18,DEN,886.0,8.0,21.0,110.75
586,2011-09-18,DFW,6924.0,57.0,253.0,121.47
587,2011-09-18,DTW,3912.0,18.0,199.0,217.33
588,2011-09-18,EWR,14394.0,92.0,517.0,156.46
589,2011-09-18,IAH,9904.0,96.0,441.0,103.17
590,2011-09-18,JFK,36340.0,168.0,1597.0,216.31
591,2011-09-18,LAS,2868.0,18.0,93.0,159.33
592,2011-09-18,LAX,23031.0,108.0,987.0,213.25
593,2011-09-18,MCO,3219.0,19.0,192.0,169.42
